                 Estimate   Std. Error
ln_gamma    -1.794426e+00 1.757056e-01
ln_gamma    -1.699211e+00 1.455375e-01
L0           4.651078e+01 5.330885e+00
L0           5.144539e+01 4.433820e+00
ln_bmean    -7.173456e+00 3.462679e-01
ln_bmean    -6.877092e+00 2.341176e-01
ln_sd_obs   -2.196002e+00 2.851833e-02
gamma        1.662228e-01 2.920628e-02
gamma        1.828276e-01 2.660827e-02
psi          1.000000e-06 0.000000e+00
L0           4.651078e+01 5.330885e+00
L0           5.144539e+01 4.433820e+00
amean        1.662216e-01 2.920613e-02
amean        1.828264e-01 2.660813e-02
bmean        7.666686e-04 2.654727e-04
bmean        1.031138e-03 2.414075e-04
sd_bdev      1.000000e-03 0.000000e+00
sd_bdev      1.000000e-03 0.000000e+00
sd_obs       1.112471e-01 3.172581e-03
sd_z         1.000000e-03 0.000000e+00
sd_ydev      1.000000e-03 0.000000e+00
sd_xdev      1.000000e-03 0.000000e+00
Length1_hat  1.206799e+02 8.785500e-01
Length1_hat  1.075671e+02 8.736355e-01
Length1_hat  1.239122e+02 9.377696e-01
Length1_hat  1.022157e+02 7.698691e-01
Length1_hat  1.110791e+02 7.918407e-01
Length1_hat  9.016897e+01 1.035486e+00
Length1_hat  1.076390e+02 8.734436e-01
Length1_hat  1.340816e+02 1.496102e+00
Length1_hat  1.041796e+02 8.825297e-01
Length1_hat  1.030909e+02 7.699482e-01
Length1_hat  1.425721e+02 2.560995e+00
Length1_hat  1.198534e+02 8.684720e-01
Length1_hat  1.154447e+02 8.173913e-01
Length1_hat  1.395075e+02 2.127931e+00
Length1_hat  1.342190e+02 1.537736e+00
Length1_hat  1.153014e+02 8.552155e-01
Length1_hat  1.394686e+02 2.122857e+00
Length1_hat  1.303691e+02 1.230725e+00
Length1_hat  1.304175e+02 1.233948e+00
Length1_hat  1.431253e+02 2.412669e+00
Length1_hat  1.317049e+02 1.325623e+00
Length1_hat  1.293417e+02 1.166049e+00
Length1_hat  1.239672e+02 9.392070e-01
Length1_hat  1.343964e+02 1.554356e+00
Length1_hat  1.693213e+02 7.634753e+00
Length1_hat  1.026542e+02 7.698139e-01
Length1_hat  1.076390e+02 8.734436e-01
Length1_hat  9.079566e+01 1.019243e+00
Length1_hat  1.024790e+02 7.698122e-01
Length1_hat  1.114800e+02 8.627538e-01
Length1_hat  1.119670e+02 7.959318e-01
Length1_hat  1.114121e+02 8.629404e-01
Length1_hat  1.232131e+02 9.400127e-01
Length1_hat  1.118866e+02 7.955441e-01
Length1_hat  1.112080e+02 8.635052e-01
Length1_hat  1.115643e+02 7.940259e-01
Length1_hat  1.234282e+02 9.458866e-01
Length1_hat  1.179293e+02 8.585604e-01
Length1_hat  9.975281e+01 8.989038e-01
Length1_hat  1.113441e+02 8.631279e-01
Length1_hat  1.076390e+02 8.734436e-01
Length1_hat  1.038016e+02 8.835791e-01
Length1_hat  1.074952e+02 8.738272e-01
Length1_hat  1.076191e+02 7.790204e-01
Length1_hat  8.785479e+01 1.013151e+00
Length1_hat  1.110032e+02 8.640765e-01
Length1_hat  1.035739e+02 8.842276e-01
Length1_hat  1.179293e+02 8.585604e-01
Length1_hat  1.147233e+02 8.557370e-01
Length1_hat  1.239122e+02 9.377696e-01
Length1_hat  1.318925e+02 1.339944e+00
Length1_hat  1.268039e+02 1.036517e+00
Length1_hat  1.477635e+02 3.456349e+00
Length1_hat  1.507676e+02 4.075315e+00
Length1_hat  1.319394e+02 1.343553e+00
Length1_hat  1.034978e+02 8.844473e-01
Length1_hat  1.337002e+02 1.466747e+00
Length1_hat  1.146587e+02 8.558151e-01
Length1_hat  1.155224e+02 8.180083e-01
Length1_hat  1.210872e+02 8.835635e-01
Length1_hat  8.612453e+01 1.172712e+00
Length1_hat  1.071157e+02 7.775128e-01
Length1_hat  8.785479e+01 1.013151e+00
Length1_hat  1.070315e+02 7.772701e-01
Length1_hat  1.268711e+02 1.065412e+00
Length1_hat  1.155224e+02 8.180083e-01
Length1_hat  1.112080e+02 8.635052e-01
Length1_hat  1.154447e+02 8.173913e-01
Length1_hat  1.024790e+02 7.698122e-01
Length1_hat  7.590750e+01 1.777818e+00
Length1_hat  1.113220e+02 7.929201e-01
Length1_hat  1.240222e+02 9.406589e-01
Length1_hat  1.146587e+02 8.558151e-01
Length1_hat  9.967280e+01 8.993310e-01
Length1_hat  1.179293e+02 8.585604e-01
Length1_hat  1.068631e+02 7.767926e-01
Length1_hat  1.112411e+02 7.925574e-01
Length1_hat  1.025666e+02 7.698092e-01
Length1_hat  1.075671e+02 8.736355e-01
Length1_hat  9.270455e+01 8.599330e-01
Length1_hat  1.192569e+02 8.592126e-01
Length1_hat  1.231413e+02 9.380900e-01
Length1_hat  8.291821e+01 1.261585e+00
Length1_hat  1.239672e+02 9.392070e-01
Length1_hat  9.289470e+01 8.556973e-01
Length1_hat  1.229976e+02 9.342969e-01
Length1_hat  1.146587e+02 8.558151e-01
Length1_hat  1.268039e+02 1.036517e+00
Length1_hat  1.293911e+02 1.168997e+00
Length1_hat  1.210292e+02 8.828115e-01
Length1_hat  1.487723e+02 3.202240e+00
Length1_hat  9.951253e+01 9.002075e-01
Length1_hat  1.192569e+02 8.592126e-01
Length1_hat  8.795362e+01 1.009130e+00
Length1_hat  1.068631e+02 7.767926e-01
Length1_hat  1.069473e+02 7.770301e-01
Length1_hat  1.178681e+02 8.583421e-01
Length1_hat  9.967280e+01 8.993310e-01
Length1_hat  1.193316e+02 8.603246e-01
Length1_hat  9.782889e+01 7.853764e-01
Length1_hat  1.023035e+02 7.698420e-01
Length1_hat  9.837495e+01 7.815679e-01
Length1_hat  9.755492e+01 7.875375e-01
Length1_hat  1.023913e+02 7.698230e-01
Length1_hat  1.071157e+02 7.775128e-01
Length1_hat  1.074952e+02 8.738272e-01
Length1_hat  1.232849e+02 9.419531e-01
Length1_hat  1.146587e+02 8.558151e-01
Length1_hat  1.210872e+02 8.835635e-01
Length1_hat  1.514815e+02 3.642153e+00
Length1_hat  1.239672e+02 9.392070e-01
Length1_hat  1.239672e+02 9.392070e-01
Length1_hat  1.444533e+02 2.861213e+00
Length1_hat  1.318925e+02 1.339944e+00
Length1_hat  1.239672e+02 9.392070e-01
Length1_hat  1.155224e+02 8.180083e-01
Length1_hat  9.317938e+01 8.495904e-01
Length1_hat  9.279966e+01 8.577985e-01
Length1_hat  8.271275e+01 1.273898e+00
Length1_hat  9.548100e+01 9.344124e-01
Length1_hat  1.113220e+02 7.929201e-01
Length1_hat  1.024790e+02 7.698122e-01
Length1_hat  1.077028e+02 7.792800e-01
Length1_hat  8.864330e+01 9.821267e-01
Length1_hat  9.810223e+01 7.833888e-01
Length1_hat  1.191821e+02 8.581131e-01
Length1_hat  1.026542e+02 7.698139e-01
Length1_hat  1.028291e+02 7.698460e-01
Length1_hat  1.303862e+02 1.243011e+00
Length1_hat  1.114028e+02 7.932857e-01
Length1_hat  9.792007e+01 7.846949e-01
Length1_hat  1.114028e+02 7.932857e-01
Length1_hat  1.194063e+02 8.614495e-01
Length1_hat  1.034978e+02 8.844473e-01
Length1_hat  1.191072e+02 8.570262e-01
Length1_hat  1.236915e+02 9.321643e-01
Length1_hat  1.317049e+02 1.325623e+00
Length1_hat  9.279966e+01 8.577985e-01
Length1_hat  9.270455e+01 8.599330e-01
Length1_hat  1.020399e+02 7.699488e-01
Length1_hat  1.191821e+02 8.581131e-01
Length1_hat  1.181737e+02 8.595139e-01
Length1_hat  1.211451e+02 8.843275e-01
Length1_hat  1.236362e+02 9.307990e-01
Length1_hat  1.293911e+02 1.168997e+00
Length1_hat  9.007908e+01 1.037921e+00
Length1_hat  1.367030e+02 1.718159e+00
Length1_hat  1.071997e+02 7.777580e-01
Length1_hat  1.240222e+02 9.406589e-01
Length1_hat  1.209711e+02 8.820716e-01
Length1_hat  8.050500e+01 1.460889e+00
Length1_hat  1.072789e+02 8.744011e-01
Length1_hat  1.236915e+02 9.321643e-01
Length1_hat  1.149166e+02 8.555260e-01
Length1_hat  1.191072e+02 8.570262e-01
Length1_hat  1.107978e+02 8.646533e-01
Length1_hat  1.077108e+02 8.732514e-01
Length1_hat  1.211451e+02 8.843275e-01
Length1_hat  1.343964e+02 1.554356e+00
Length1_hat  1.295391e+02 1.177920e+00
Length1_hat  9.531208e+01 9.364922e-01
Length1_hat  9.999234e+01 8.976644e-01
Length1_hat  9.746345e+01 7.882977e-01
Length1_hat  1.292426e+02 1.160195e+00
Length1_hat  1.000720e+02 8.972648e-01
Length1_hat  1.068631e+02 7.767926e-01
Length1_hat  1.037258e+02 8.837936e-01
Length1_hat  1.153670e+02 8.167813e-01
Length1_hat  1.023913e+02 7.698230e-01
Length1_hat  1.110032e+02 8.640765e-01
Length1_hat  9.967280e+01 8.993310e-01
Length1_hat  9.052763e+01 1.026033e+00
Length1_hat  1.193316e+02 8.603246e-01
Length1_hat  8.755785e+01 1.025460e+00
Length1_hat  8.070442e+01 1.448742e+00
Length1_hat  1.069473e+02 7.770301e-01
Length1_hat  1.153670e+02 8.167813e-01
Length1_hat  9.782889e+01 7.853764e-01
Length1_hat  1.107978e+02 8.646533e-01
Length1_hat  1.022157e+02 7.698691e-01
Length1_hat  1.301208e+02 1.227494e+00
Length1_hat  1.024790e+02 7.698122e-01
Length1_hat  9.232337e+01 8.688069e-01
Length1_hat  8.240397e+01 1.292689e+00
Length1_hat  9.737192e+01 7.890783e-01
Length1_hat  8.765691e+01 1.021316e+00
Length1_hat  1.021278e+02 7.699047e-01
Length1_hat  1.189572e+02 8.548895e-01
Length1_hat  9.034849e+01 1.030702e+00
Length1_hat  9.737192e+01 7.890783e-01
Length1_hat  7.136001e+01 2.171666e+00
Length1_hat  1.108356e+02 7.907866e-01
Length1_hat  1.020399e+02 7.699488e-01
Length1_hat  1.071343e+02 8.747826e-01
Length1_hat  1.150554e+02 8.144106e-01
Length1_hat  1.188071e+02 8.528015e-01
Length1_hat  1.071997e+02 7.777580e-01
Length1_hat  1.035739e+02 8.842276e-01
Length1_hat  9.106286e+01 1.012703e+00
Length1_hat  9.384109e+01 8.364599e-01
Length1_hat  8.805237e+01 1.005150e+00
Length1_hat  1.077108e+02 8.732514e-01
Length1_hat  9.967280e+01 8.993310e-01
Length1_hat  1.194063e+02 8.614495e-01
Length1_hat  9.782889e+01 7.853764e-01
Length1_hat  8.775589e+01 1.017213e+00
Length1_hat  1.114028e+02 7.932857e-01
Length1_hat  1.192569e+02 8.592126e-01
Length1_hat  9.755492e+01 7.875375e-01
Length1_hat  1.035739e+02 8.842276e-01
Length1_hat  9.070641e+01 1.021478e+00
Length1_hat  9.837495e+01 7.815679e-01
Length1_hat  8.805237e+01 1.005150e+00
Length1_hat  1.232131e+02 9.400127e-01
Length1_hat  1.194810e+02 8.625871e-01
Length1_hat  1.232131e+02 9.400127e-01
Length1_hat  1.182347e+02 8.597728e-01
Length1_hat  1.076191e+02 7.790204e-01
Length1_hat  1.152113e+02 8.155824e-01
Length1_hat  9.755492e+01 7.875375e-01
Length1_hat  9.573372e+01 9.314156e-01
Length1_hat  1.194063e+02 8.614495e-01
Length1_hat  9.755492e+01 7.875375e-01
Length1_hat  9.983273e+01 8.984837e-01
Length1_hat  1.075671e+02 8.736355e-01
Length1_hat  9.983273e+01 8.984837e-01
Length1_hat  1.071157e+02 7.775128e-01
Length1_hat  8.110204e+01 1.424936e+00
Length1_hat  9.782889e+01 7.853764e-01
Length1_hat  8.795362e+01 1.009130e+00
Length1_hat  1.304524e+02 1.246938e+00
Length1_hat  9.746345e+01 7.882977e-01
Length1_hat  9.497319e+01 9.408563e-01
Length1_hat  8.745872e+01 1.029645e+00
Length1_hat  1.109348e+02 8.642682e-01
Length1_hat  8.765691e+01 1.021316e+00
Length1_hat  1.025666e+02 7.698092e-01
Length1_hat  1.114028e+02 7.932857e-01
Length1_hat  8.240397e+01 1.292689e+00
Length1_hat  9.327413e+01 8.476197e-01
Length1_hat  9.317938e+01 8.495904e-01
Length1_hat  1.074516e+02 7.785083e-01
Length1_hat  8.612453e+01 1.172712e+00
Length1_hat  9.298967e+01 8.536290e-01
Length1_hat  1.110791e+02 7.918407e-01
Length1_hat  1.034978e+02 8.844473e-01
Length1_hat  9.991258e+01 8.980706e-01
Length1_hat  1.071997e+02 7.777580e-01
Length1_hat  9.999234e+01 8.976644e-01
Length1_hat  1.071157e+02 7.775128e-01
Length1_hat  7.180538e+01 2.129058e+00
