"","Age1","Age2","Liberty","Length1","Length2","Sex","Area1","Date0","Date1","Date2","release.weight","weight","distance"
"6431",2.04667124227865,10,7.95332875772135,55,124,2,4,1994-02-09 00:00:00,2004-02-09,2012-01-15,1.6,23,238.931200071802
"6441",6.03637611530542,15,8.96362388469458,87,133,2,4,1988-02-08 00:00:00,2003-02-08,2012-01-17,10,39,183.856980489101
"6451",4.02539464653397,9,4.97460535346603,80,112,1,4,1998-01-31 00:00:00,2007-01-31,2012-01-17,6.2,16,223.086003978934
"6461",3.94852436513384,9,5.05147563486616,81,109,2,4,1998-01-03 00:00:00,2007-01-03,2012-01-17,7,15.9,20.2583507464935
"6471",5.93067947838023,13,7.06932052161977,92,138,2,4,1991-12-31 00:00:00,2004-12-31,2012-01-19,8.1,28,38.3506515333496
"6551",5.9334248455731,13,7.0665751544269,90,131,1,4,1992-01-03 00:00:00,2005-01-03,2012-01-21,9.1,26.58,60.2547824678021
"6571",9.97872340425532,15,5.02127659574468,96,121,1,4,1992-01-18 00:00:00,2007-01-18,2012-01-21,10.0358917126032,23.5,16.1985041292051
"6591",4.96156485929993,13,8.03843514070007,92,129,2,4,1991-01-15 00:00:00,2004-01-15,2012-01-21,9,22.5,4.80371773963939
"6601",10.0054907343857,18,7.99450926561428,108,133,1,4,1986-01-31 00:00:00,2004-01-31,2012-01-21,14.3629134523704,26.5,68.9332883337554
"6611",6.95538778311599,14,7.04461221688401,97,115,1,4,1991-01-11 00:00:00,2005-01-11,2012-01-21,10,20,73.4315618770669
"6621",10.9533287577213,19,8.04667124227865,80,125,1,4,1985-01-12 00:00:00,2004-01-12,2012-01-21,6.3,23,158.795915956719
"6631",4.94028826355525,10,5.05971173644475,105,116,1,4,1997-01-04 00:00:00,2007-01-04,2012-01-21,13.1827509875317,18.5,68.6880793850239
"6651",4.93685655456417,13,8.06314344543583,91,134,1,4,1991-01-07 00:00:00,2004-01-07,2012-01-22,8.52813735889224,32.5,30.642215348047
"6701",6.93617021276596,14,7.06382978723404,93,125,2,4,1991-01-08 00:00:00,2005-01-08,2012-01-25,9.36,26.5,12.609070260723
"6731",6,14,8,70,113,1,4,1990-02-02 00:00:00,2004-02-02,2012-01-25,4.2,16.5,92.5496112220963
"6761",3.03568977350721,11,7.96431022649279,56,104,1,6,1993-02-18 00:00:00,2004-02-18,2012-01-28,1.42,13.3,215.576475840286
