                 Estimate   Std. Error
ln_gamma    -1.662117e+00 7.497829e-02
logit_psi   -6.906755e+00 5.543412e+00
ln_L0        3.764724e+00 6.792302e-02
ln_L0        3.906923e+00 5.123416e-02
ln_bmean    -6.941211e+00 1.152923e-01
ln_bmean    -6.846762e+00 1.075996e-01
ln_sd_bdev  -1.569535e+00 1.242999e-01
ln_sd_bdev  -1.657985e+00 1.208572e-01
ln_sd_obs   -2.494410e+00 4.177614e-02
ln_bdev     -1.806795e-01 1.123004e-01
ln_bdev     -7.122575e-02 1.188339e-01
ln_bdev     -5.115726e-02 1.027694e-01
ln_bdev     -3.922079e-02 1.350015e-01
ln_bdev      1.400042e-02 1.225585e-01
ln_bdev     -5.322620e-02 1.318183e-01
ln_bdev      4.960632e-03 1.171081e-01
ln_bdev      3.779604e-01 1.026547e-01
ln_bdev      5.569735e-02 1.228733e-01
ln_bdev      9.195123e-02 1.378539e-01
ln_bdev      1.804974e-01 8.729327e-02
ln_bdev      1.712185e-01 1.156499e-01
ln_bdev      3.191076e-01 1.198613e-01
ln_bdev      5.574751e-02 9.024268e-02
ln_bdev      8.380538e-02 9.453640e-02
ln_bdev      1.076923e-01 1.115156e-01
ln_bdev      1.537314e-01 8.922166e-02
ln_bdev      2.524577e-01 9.540897e-02
ln_bdev      3.593590e-01 9.504746e-02
ln_bdev     -1.998179e-02 1.034269e-01
ln_bdev      1.300481e-01 9.616168e-02
ln_bdev     -1.094510e-01 1.033568e-01
ln_bdev     -8.928123e-02 1.065112e-01
ln_bdev     -1.334326e-01 9.813156e-02
ln_bdev      6.037606e-02 8.695261e-02
ln_bdev      3.424281e-01 1.376368e-01
ln_bdev      3.825664e-01 1.192581e-01
ln_bdev      3.420410e-01 1.400626e-01
ln_bdev      4.792081e-02 1.417618e-01
ln_bdev      2.159772e-01 1.146258e-01
ln_bdev      3.029791e-01 1.196467e-01
ln_bdev      6.688416e-02 1.162550e-01
ln_bdev      2.072534e-01 1.135288e-01
ln_bdev      2.131150e-01 1.207545e-01
ln_bdev     -1.989513e-02 1.179096e-01
ln_bdev     -1.271162e-02 1.274656e-01
ln_bdev      1.546340e-01 1.109186e-01
ln_bdev     -9.587986e-02 1.125850e-01
ln_bdev      3.990973e-02 1.282247e-01
ln_bdev      2.291440e-01 1.148808e-01
ln_bdev      1.132302e-01 1.177861e-01
ln_bdev      6.650879e-02 1.228103e-01
ln_bdev      2.387048e-02 1.190539e-01
ln_bdev     -7.901097e-02 1.309936e-01
ln_bdev      6.007482e-01 1.841588e-01
ln_bdev      4.684890e-01 1.200104e-01
ln_bdev     -8.285339e-02 1.276133e-01
ln_bdev      8.895787e-02 1.086327e-01
ln_bdev     -6.728003e-03 1.139240e-01
ln_bdev      4.539461e-02 1.033739e-01
ln_bdev      1.772450e-01 9.435730e-02
ln_bdev      7.560091e-03 1.014302e-01
ln_bdev      1.696804e-01 8.364287e-02
ln_bdev      3.924433e-02 8.247021e-02
ln_bdev     -1.847915e-02 9.737572e-02
ln_bdev      1.125483e-01 1.227312e-01
ln_bdev     -1.737224e-01 1.145774e-01
ln_bdev      2.023107e-02 1.133900e-01
ln_bdev      2.072845e-01 1.213928e-01
ln_bdev      1.386997e-01 1.046562e-01
ln_bdev     -1.629109e-01 1.498481e-01
ln_bdev      2.197360e-01 1.312514e-01
ln_bdev      1.068670e-01 1.503232e-01
ln_bdev      1.613024e-01 1.317993e-01
ln_bdev     -6.846041e-02 1.166084e-01
ln_bdev      5.406369e-02 1.241364e-01
ln_bdev     -1.021653e-01 1.198336e-01
ln_bdev      1.677434e-01 1.220288e-01
ln_bdev     -7.179885e-02 1.408510e-01
ln_bdev      3.240399e-01 1.590030e-01
ln_bdev      1.116169e-01 1.275522e-01
ln_bdev      2.662998e-01 1.004480e-01
ln_bdev      2.602079e-01 1.103508e-01
ln_bdev      1.583571e-01 1.309681e-01
ln_bdev      1.708288e-01 1.074494e-01
ln_bdev      1.940454e-01 1.345188e-01
ln_bdev      8.042935e-02 1.304591e-01
ln_bdev     -7.390416e-02 1.405235e-01
ln_bdev     -5.176595e-02 1.225824e-01
ln_bdev      2.851021e-01 1.442857e-01
ln_bdev      1.545717e-01 1.182853e-01
ln_bdev     -2.697097e-01 1.272618e-01
ln_bdev     -4.411797e-02 1.576170e-01
ln_bdev      1.050446e-02 1.039854e-01
ln_bdev     -3.019441e-02 1.479226e-01
ln_bdev     -5.243353e-02 1.194282e-01
ln_bdev     -2.464009e-01 1.207458e-01
ln_bdev     -1.532009e-01 1.057207e-01
ln_bdev     -1.360668e-01 1.026922e-01
ln_bdev     -2.497901e-02 1.076505e-01
ln_bdev      2.718809e-02 9.751736e-02
ln_bdev     -8.734813e-02 1.322755e-01
ln_bdev     -4.396197e-02 1.228367e-01
ln_bdev     -1.911741e-01 1.550025e-01
ln_bdev     -5.710633e-02 1.354349e-01
ln_bdev      1.108875e-01 1.251294e-01
ln_bdev     -1.486229e-01 1.126554e-01
ln_bdev      9.286037e-02 1.248516e-01
ln_bdev      3.509806e-04 1.234185e-01
ln_bdev      7.917865e-02 1.351312e-01
ln_bdev      2.448303e-02 1.390786e-01
ln_bdev      5.749798e-02 1.325585e-01
ln_bdev     -4.029117e-02 1.398662e-01
ln_bdev     -4.726768e-02 1.374893e-01
ln_bdev      8.512600e-02 1.277785e-01
ln_bdev     -4.326693e-03 1.195728e-01
ln_bdev     -2.889795e-01 1.281421e-01
ln_bdev     -7.853924e-02 1.155449e-01
ln_bdev     -7.043128e-03 1.072606e-01
ln_bdev     -1.364933e-01 1.007541e-01
ln_bdev     -1.608967e-01 1.088491e-01
ln_bdev     -7.295274e-03 1.043671e-01
ln_bdev      1.236447e-01 8.584428e-02
ln_bdev     -2.014585e-01 1.024666e-01
ln_bdev     -2.747569e-01 1.127140e-01
ln_bdev     -1.250967e-01 1.288716e-01
ln_bdev      2.569020e-01 1.441623e-01
ln_bdev      1.724828e-02 1.511117e-01
ln_bdev     -2.801862e-02 1.607281e-01
ln_bdev      1.161133e-01 1.336966e-01
ln_bdev     -1.454592e-01 1.334476e-01
ln_bdev     -7.797905e-02 1.382786e-01
ln_bdev      1.746212e-02 1.241851e-01
ln_bdev     -1.079240e-01 1.423099e-01
ln_bdev     -7.786619e-02 1.409945e-01
ln_bdev     -1.948891e-01 1.276771e-01
ln_bdev     -2.606563e-01 1.455981e-01
ln_bdev     -9.809925e-03 1.341942e-01
ln_bdev      3.434676e-02 1.106866e-01
ln_bdev      4.041869e-02 1.245584e-01
ln_bdev     -1.854222e-01 1.450494e-01
ln_bdev     -7.015103e-02 1.275505e-01
ln_bdev      2.018944e-01 1.134354e-01
ln_bdev      3.917224e-02 1.186367e-01
ln_bdev     -5.714776e-02 1.231864e-01
ln_bdev     -2.019064e-01 1.101565e-01
ln_bdev      8.754496e-02 9.553520e-02
ln_bdev     -1.124869e-02 1.512004e-01
ln_bdev     -8.641900e-02 1.461874e-01
ln_bdev      1.259539e-01 1.381838e-01
ln_bdev      2.856138e-02 1.227707e-01
ln_bdev      8.787399e-02 1.070573e-01
ln_bdev     -5.668411e-02 1.043919e-01
ln_bdev     -1.360048e-01 1.079987e-01
