                 Estimate   Std. Error
ln_gamma    -1.006865e+00 3.272549e-02
ln_gamma    -8.480007e-01 3.881035e-02
L0           4.061195e-01 9.979572e-01
L0           5.714163e+00 9.926199e-01
ln_bmean    -5.967155e+00 5.307259e-02
ln_bmean    -5.730701e+00 5.196237e-02
ln_sd_obs   -2.092697e+00 2.869687e-02
gamma        3.653626e-01 1.195667e-02
gamma        4.282703e-01 1.662132e-02
psi          1.000000e-06 0.000000e+00
L0           4.061195e-01 9.979572e-01
L0           5.714163e+00 9.926199e-01
Linf         1.426344e+02 3.176099e+00
Linf         1.319859e+02 2.067007e+00
amean        3.653605e-01 1.195662e-02
amean        4.282679e-01 1.662125e-02
bmean        2.561518e-03 1.359464e-04
bmean        3.244801e-03 1.686076e-04
sd_bdev      1.000000e-03 0.000000e+00
sd_bdev      1.000000e-03 0.000000e+00
sd_obs       1.233540e-01 3.539875e-03
sd_z         1.000000e-03 0.000000e+00
sd_ydev      1.000000e-03 0.000000e+00
sd_xdev      1.000000e-03 0.000000e+00
Length1_hat  1.217708e+02 9.514663e-01
Length1_hat  1.123116e+02 8.532467e-01
Length1_hat  1.234957e+02 1.039625e+00
Length1_hat  1.048031e+02 7.975310e-01
Length1_hat  1.137247e+02 7.653186e-01
Length1_hat  9.233199e+01 1.219410e+00
Length1_hat  1.123753e+02 8.524419e-01
Length1_hat  1.298976e+02 1.445691e+00
Length1_hat  1.091445e+02 9.044166e-01
Length1_hat  1.057598e+02 7.870112e-01
Length1_hat  1.297916e+02 1.639998e+00
Length1_hat  1.209904e+02 9.279420e-01
Length1_hat  1.175237e+02 8.230561e-01
Length1_hat  1.291228e+02 1.548485e+00
Length1_hat  1.276627e+02 1.377299e+00
Length1_hat  1.183949e+02 8.519182e-01
Length1_hat  1.291135e+02 1.547278e+00
Length1_hat  1.263265e+02 1.247536e+00
Length1_hat  1.263449e+02 1.249167e+00
Length1_hat  1.339831e+02 1.816114e+00
Length1_hat  1.268180e+02 1.292636e+00
Length1_hat  1.259274e+02 1.213020e+00
Length1_hat  1.235232e+02 1.041254e+00
Length1_hat  1.277184e+02 1.383226e+00
Length1_hat  1.406407e+02 2.709239e+00
Length1_hat  1.052845e+02 7.921109e-01
Length1_hat  1.123753e+02 8.524419e-01
Length1_hat  9.322252e+01 1.206792e+00
Length1_hat  1.050927e+02 7.942413e-01
Length1_hat  1.155806e+02 8.301196e-01
Length1_hat  1.145279e+02 7.729385e-01
Length1_hat  1.155273e+02 8.301381e-01
Length1_hat  1.233962e+02 1.031937e+00
Length1_hat  1.144558e+02 7.721599e-01
Length1_hat  1.153663e+02 8.302785e-01
Length1_hat  1.141656e+02 7.692162e-01
Length1_hat  1.235435e+02 1.039147e+00
Length1_hat  1.201264e+02 8.916849e-01
Length1_hat  1.045040e+02 9.989376e-01
Length1_hat  1.154738e+02 8.301707e-01
Length1_hat  1.123753e+02 8.524419e-01
Length1_hat  1.087709e+02 9.115102e-01
Length1_hat  1.122477e+02 8.540654e-01
Length1_hat  1.104410e+02 7.559052e-01
Length1_hat  8.650778e+01 1.036790e+00
Length1_hat  1.152037e+02 8.305471e-01
Length1_hat  1.085438e+02 9.158947e-01
Length1_hat  1.201264e+02 8.916849e-01
Length1_hat  1.179922e+02 8.457742e-01
Length1_hat  1.234957e+02 1.039625e+00
Length1_hat  1.268847e+02 1.298979e+00
Length1_hat  1.248603e+02 1.129407e+00
Length1_hat  1.306675e+02 1.777175e+00
Length1_hat  1.310451e+02 1.844759e+00
Length1_hat  1.269012e+02 1.300560e+00
Length1_hat  1.084676e+02 9.173770e-01
Length1_hat  1.297004e+02 1.430144e+00
Length1_hat  1.179467e+02 8.451494e-01
Length1_hat  1.175879e+02 8.245289e-01
Length1_hat  1.220002e+02 9.616400e-01
Length1_hat  8.624647e+01 1.288113e+00
Length1_hat  1.099424e+02 7.571173e-01
Length1_hat  8.650778e+01 1.036790e+00
Length1_hat  1.098585e+02 7.573801e-01
Length1_hat  1.257954e+02 1.161631e+00
Length1_hat  1.175879e+02 8.245289e-01
Length1_hat  1.153663e+02 8.302785e-01
Length1_hat  1.175237e+02 8.230561e-01
Length1_hat  1.050927e+02 7.942413e-01
Length1_hat  6.809513e+01 1.320994e+00
Length1_hat  1.139460e+02 7.671893e-01
Length1_hat  1.235506e+02 1.042885e+00
Length1_hat  1.179467e+02 8.451494e-01
Length1_hat  1.044147e+02 1.000814e+00
Length1_hat  1.201264e+02 8.916849e-01
Length1_hat  1.096902e+02 7.579574e-01
Length1_hat  1.138724e+02 7.665483e-01
Length1_hat  1.051887e+02 7.931698e-01
Length1_hat  1.123116e+02 8.532467e-01
Length1_hat  9.325495e+01 9.557596e-01
Length1_hat  1.205423e+02 9.114236e-01
Length1_hat  1.233469e+02 1.029544e+00
Length1_hat  7.900189e+01 1.099796e+00
Length1_hat  1.235232e+02 1.041254e+00
Length1_hat  9.350727e+01 9.523665e-01
Length1_hat  1.232478e+02 1.024771e+00
Length1_hat  1.179467e+02 8.451494e-01
Length1_hat  1.248603e+02 1.129407e+00
Length1_hat  1.259471e+02 1.214675e+00
Length1_hat  1.219678e+02 9.601725e-01
Length1_hat  1.360064e+02 2.039452e+00
Length1_hat  1.042352e+02 1.004582e+00
Length1_hat  1.205423e+02 9.114236e-01
Length1_hat  8.665137e+01 1.035289e+00
Length1_hat  1.096902e+02 7.579574e-01
Length1_hat  1.097745e+02 7.576602e-01
Length1_hat  1.200879e+02 8.905505e-01
Length1_hat  1.044147e+02 1.000814e+00
Length1_hat  1.205988e+02 9.134579e-01
Length1_hat  9.974387e+01 8.643971e-01
Length1_hat  1.048999e+02 7.964221e-01
Length1_hat  1.003980e+02 8.551329e-01
Length1_hat  9.941301e+01 8.691114e-01
Length1_hat  1.049964e+02 7.953255e-01
Length1_hat  1.099424e+02 7.571173e-01
Length1_hat  1.122477e+02 8.540654e-01
Length1_hat  1.234454e+02 1.034336e+00
Length1_hat  1.179467e+02 8.451494e-01
Length1_hat  1.220002e+02 9.616400e-01
Length1_hat  1.368478e+02 2.142071e+00
Length1_hat  1.235232e+02 1.041254e+00
Length1_hat  1.235232e+02 1.041254e+00
Length1_hat  1.301443e+02 1.692502e+00
Length1_hat  1.268847e+02 1.298979e+00
Length1_hat  1.235232e+02 1.041254e+00
Length1_hat  1.175879e+02 8.245289e-01
Length1_hat  9.388335e+01 9.472713e-01
Length1_hat  9.338127e+01 9.540635e-01
Length1_hat  7.867506e+01 1.101834e+00
Length1_hat  9.945284e+01 1.101385e+00
Length1_hat  1.139460e+02 7.671893e-01
Length1_hat  1.050927e+02 7.942413e-01
Length1_hat  1.105234e+02 7.557643e-01
Length1_hat  8.764623e+01 1.024603e+00
Length1_hat  1.000722e+02 8.597365e-01
Length1_hat  1.204857e+02 9.093983e-01
Length1_hat  1.052845e+02 7.921109e-01
Length1_hat  1.054754e+02 7.900318e-01
Length1_hat  1.278954e+02 1.296926e+00
Length1_hat  1.140194e+02 7.678476e-01
Length1_hat  9.985359e+01 8.628375e-01
Length1_hat  1.140194e+02 7.678476e-01
Length1_hat  1.206552e+02 9.155011e-01
Length1_hat  1.084676e+02 9.173770e-01
Length1_hat  1.204289e+02 9.073820e-01
Length1_hat  1.233848e+02 1.033128e+00
Length1_hat  1.268180e+02 1.292636e+00
Length1_hat  9.338127e+01 9.540635e-01
Length1_hat  9.325495e+01 9.557596e-01
Length1_hat  1.046088e+02 7.997854e-01
Length1_hat  1.204857e+02 9.093983e-01
Length1_hat  1.202794e+02 8.963027e-01
Length1_hat  1.220326e+02 9.631119e-01
Length1_hat  1.233568e+02 1.031509e+00
Length1_hat  1.259471e+02 1.214675e+00
Length1_hat  9.220311e+01 1.221183e+00
Length1_hat  1.311967e+02 1.553179e+00
Length1_hat  1.100260e+02 7.568718e-01
Length1_hat  1.235506e+02 1.042885e+00
Length1_hat  1.219352e+02 9.587097e-01
Length1_hat  7.677508e+01 1.335442e+00
Length1_hat  1.120546e+02 8.566042e-01
Length1_hat  1.233848e+02 1.033128e+00
Length1_hat  1.181277e+02 8.477188e-01
Length1_hat  1.204289e+02 9.073820e-01
Length1_hat  1.150395e+02 8.309443e-01
Length1_hat  1.124389e+02 8.516509e-01
Length1_hat  1.220326e+02 9.631119e-01
Length1_hat  1.277184e+02 1.383226e+00
Length1_hat  1.260056e+02 1.219633e+00
Length1_hat  9.924103e+01 1.105417e+00
Length1_hat  1.047702e+02 9.933434e-01
Length1_hat  9.930215e+01 8.706940e-01
Length1_hat  1.258880e+02 1.209707e+00
Length1_hat  1.048584e+02 9.914904e-01
Length1_hat  1.096902e+02 7.579574e-01
Length1_hat  1.086955e+02 9.129612e-01
Length1_hat  1.174593e+02 8.215969e-01
Length1_hat  1.049964e+02 7.953255e-01
Length1_hat  1.152037e+02 8.305471e-01
Length1_hat  1.044147e+02 1.000814e+00
Length1_hat  9.284334e+01 1.212244e+00
Length1_hat  1.205988e+02 9.134579e-01
Length1_hat  8.607481e+01 1.041250e+00
Length1_hat  7.713222e+01 1.334909e+00
Length1_hat  1.097745e+02 7.576602e-01
Length1_hat  1.174593e+02 8.215969e-01
Length1_hat  9.974387e+01 8.643971e-01
Length1_hat  1.150395e+02 8.309443e-01
Length1_hat  1.048031e+02 7.975310e-01
Length1_hat  1.277436e+02 1.286448e+00
Length1_hat  1.050927e+02 7.942413e-01
Length1_hat  9.274640e+01 9.625325e-01
Length1_hat  7.818167e+01 1.104798e+00
Length1_hat  9.919101e+01 8.722822e-01
Length1_hat  8.621951e+01 1.039770e+00
Length1_hat  1.047061e+02 7.986522e-01
Length1_hat  1.203148e+02 9.033770e-01
Length1_hat  9.258850e+01 1.215842e+00
Length1_hat  9.919101e+01 8.722822e-01
Length1_hat  5.872243e+01 1.119937e+00
Length1_hat  1.135017e+02 7.636054e-01
Length1_hat  1.046088e+02 7.997854e-01
Length1_hat  1.119248e+02 8.583651e-01
Length1_hat  1.172000e+02 8.158981e-01
Length1_hat  1.202002e+02 8.994093e-01
Length1_hat  1.100260e+02 7.568718e-01
Length1_hat  1.085438e+02 9.158947e-01
Length1_hat  9.359803e+01 1.201279e+00
Length1_hat  9.474969e+01 9.353738e-01
Length1_hat  8.679458e+01 1.033782e+00
Length1_hat  1.124389e+02 8.516509e-01
Length1_hat  1.044147e+02 1.000814e+00
Length1_hat  1.206552e+02 9.155011e-01
Length1_hat  9.974387e+01 8.643971e-01
Length1_hat  8.636383e+01 1.038283e+00
