                 Estimate   Std. Error
ln_gamma    -1.523094e+00 0.1036227427
ln_gamma    -1.661962e+00 0.1133652435
L0           3.466057e+01 5.0095852044
L0           4.581696e+01 3.8698585061
ln_bmean    -6.727214e+00 0.1729510399
ln_bmean    -6.870208e+00 0.1922079804
ln_sd_obs   -3.037513e+00 0.0706906056
ln_sd_z     -4.585953e-01 0.0571435240
z1           1.389594e+01 4.7573393293
z1           4.540894e+00 4.5310914105
z1           3.513509e+00 5.0891425085
z1           2.056552e+00 4.2854494588
z1          -5.316509e+00 4.6567430207
z1           6.112243e+00 3.9956489304
z1          -6.395066e-01 4.4331058361
z1          -2.723228e+01 4.3422888582
z1          -1.917669e+00 4.0792927893
z1          -4.351041e+00 3.7800438797
z1          -1.819591e+01 4.9672007246
z1          -1.230361e+01 4.4759796670
z1          -1.924610e+01 3.9136622556
z1          -5.456272e+00 5.1210275886
z1          -7.647837e+00 4.4983104006
z1          -6.265418e+00 4.0678336146
z1          -1.582499e+01 5.0998424790
z1          -2.135347e+01 4.4003901209
z1          -3.035110e+01 4.2708947836
z1           2.160796e+00 4.9044540224
z1          -1.117556e+01 4.3448695637
z1           8.646494e+00 4.5538173090
z1           7.145009e+00 4.7060560318
z1           1.102086e+01 5.2354040557
z1          -3.627532e+00 6.7269050808
z1          -1.450752e+01 3.3784554732
z1          -2.111645e+01 3.5501231528
z1          -2.188990e+01 3.3990258752
z1          -1.947340e+00 3.3788319548
z1          -1.267471e+01 3.8679940441
z1          -2.074239e+01 4.1764981412
z1          -3.171837e+00 4.0574515862
z1          -1.342600e+01 4.2508950747
z1          -1.630084e+01 4.3291990260
z1           2.360137e+00 4.1859716407
z1          -3.471218e-01 4.4531462664
z1          -1.142329e+01 4.7485605155
z1           7.406436e+00 4.5106228778
z1          -4.278596e-01 3.9703188407
z1          -1.717820e+01 4.0997605551
z1          -6.433319e+00 4.1482054904
z1          -3.909038e+00 4.1132033335
z1          -9.276065e-01 4.2696966379
z1           3.667655e+00 4.5153595496
