                 Estimate   Std. Error
ln_gamma    -1.940623e+00 2.058685e-01
ln_gamma    -1.899715e+00 1.806568e-01
L0           4.797902e+01 4.778762e+00
L0           4.944976e+01 4.015936e+00
ln_bmean    -7.265770e+00 3.297648e-01
ln_bmean    -7.132395e+00 2.606035e-01
ln_sd_obs   -3.006822e+00 7.233513e-02
ln_sd_z     -6.165915e-01 7.796886e-02
ln_sd_ydev  -1.098458e+00 3.774885e-01
z1           1.240294e+01 4.867791e+00
z1           4.309947e+00 4.554958e+00
z1           2.486421e+00 5.198783e+00
z1           2.445250e+00 4.319219e+00
z1          -3.550182e+00 4.742935e+00
z1           7.321467e+00 3.981781e+00
z1          -1.168260e+00 4.477715e+00
z1          -1.717696e+01 5.074807e+00
z1          -1.821714e-01 4.367188e+00
z1          -6.780728e-01 3.999031e+00
z1          -7.691287e+00 6.077661e+00
z1          -5.673136e+00 4.789245e+00
z1          -1.516512e+01 4.220399e+00
z1           3.215481e+00 5.792295e+00
z1           1.897739e-01 5.039783e+00
z1          -3.563555e+00 4.311355e+00
z1          -6.575474e+00 5.806595e+00
z1          -1.299033e+01 4.914130e+00
z1          -2.167529e+01 4.838427e+00
z1           1.051338e+01 5.613094e+00
z1          -3.392523e+00 4.864646e+00
z1           1.257698e+01 4.810149e+00
z1           1.009807e+01 4.825421e+00
z1           1.702529e+01 5.502028e+00
z1           1.649219e+00 8.493792e+00
z1          -1.096763e+01 3.541925e+00
z1          -1.787949e+01 3.737908e+00
z1          -1.718686e+01 3.658974e+00
z1           2.586657e-01 3.572850e+00
z1          -1.129438e+01 4.019289e+00
z1          -1.633595e+01 4.414505e+00
z1          -2.068455e+00 4.165551e+00
z1          -9.464806e+00 4.504802e+00
z1          -1.191614e+01 4.542778e+00
z1           3.289025e+00 4.281575e+00
z1           1.992471e+00 4.594707e+00
z1          -4.317509e+00 5.036919e+00
z1           8.611151e+00 4.633707e+00
z1           3.009803e+00 3.983856e+00
z1          -1.515489e+01 4.233846e+00
z1          -4.516163e+00 4.207950e+00
z1          -4.561473e-01 4.157457e+00
z1           8.142401e-01 4.296271e+00
z1           6.201814e+00 4.635644e+00
z1          -2.090730e+01 2.751391e+00
z1          -2.523931e+01 3.563850e+00
z1           9.690097e+00 4.058876e+00
z1          -3.878333e+00 4.424277e+00
z1           2.351357e+00 4.436278e+00
z1           1.038652e+00 4.647849e+00
z1          -8.657705e+00 5.059818e+00
z1           4.342787e+00 4.836192e+00
z1          -1.021248e+01 6.832592e+00
z1           2.088554e+00 7.376696e+00
z1           4.287644e+00 5.089694e+00
z1          -4.068252e+00 4.026734e+00
z1           1.620485e+01 5.377578e+00
