                 Estimate   Std. Error
ln_gamma    -1.653753e+00 1.386885e+00
logit_psi   -6.538803e+00 1.396132e+02
ln_L0        3.757562e+00 7.968000e-02
ln_L0        3.922082e+00 5.990938e-02
ln_bmean    -6.924548e+00 1.230883e-01
ln_bmean    -6.819694e+00 1.132732e-01
ln_sd_obs   -2.195146e+00 2.853358e-02
gamma        1.913304e-01 2.653534e-01
psi          1.444131e-03 2.013285e-01
L0           4.284383e+01 3.413796e+00
L0           5.050549e+01 3.025753e+00
Linf         1.926344e+02 1.082275e+01
Linf         1.734852e+02 7.846477e+00
amean        1.894267e-01 1.362119e-02
amean        1.894553e-01 1.370452e-02
bmean        9.833478e-04 1.210386e-04
bmean        1.092055e-03 1.237005e-04
sd_bdev      1.000000e-02 0.000000e+00
sd_bdev      1.000000e-02 0.000000e+00
sd_obs       1.113423e-01 3.176993e-03
sd_z         1.000000e-01 0.000000e+00
sd_ydev      1.000000e-02 0.000000e+00
sd_xdev      1.000000e-02 0.000000e+00
Length1_hat  1.207632e+02 8.480534e-01
Length1_hat  1.076786e+02 7.526183e-01
Length1_hat  1.239449e+02 9.221074e-01
Length1_hat  1.025157e+02 6.958402e-01
Length1_hat  1.114362e+02 7.037952e-01
Length1_hat  9.026319e+01 1.024652e+00
Length1_hat  1.078222e+02 7.521070e-01
Length1_hat  1.332991e+02 1.266378e+00
Length1_hat  1.042884e+02 7.733968e-01
Length1_hat  1.034852e+02 6.898426e-01
Length1_hat  1.420323e+02 1.850761e+00
Length1_hat  1.199041e+02 8.339706e-01
Length1_hat  1.157111e+02 7.555422e-01
Length1_hat  1.391233e+02 1.634361e+00
Length1_hat  1.339682e+02 1.318997e+00
Length1_hat  1.154451e+02 7.720127e-01
Length1_hat  1.390858e+02 1.631758e+00
Length1_hat  1.302663e+02 1.141335e+00
Length1_hat  1.302663e+02 1.141335e+00
Length1_hat  1.415369e+02 1.689390e+00
Length1_hat  1.315678e+02 1.199411e+00
Length1_hat  1.292637e+02 1.099730e+00
Length1_hat  1.239449e+02 9.221074e-01
Length1_hat  1.341405e+02 1.328218e+00
Length1_hat  1.635478e+02 3.662368e+00
Length1_hat  1.030458e+02 6.923513e-01
Length1_hat  1.078222e+02 7.521070e-01
Length1_hat  9.080670e+01 1.010146e+00
Length1_hat  1.027811e+02 6.940301e-01
Length1_hat  1.116500e+02 7.501400e-01
Length1_hat  1.122307e+02 7.111776e-01
Length1_hat  1.115824e+02 7.499732e-01
Length1_hat  1.231207e+02 9.121205e-01
Length1_hat  1.122307e+02 7.111776e-01
Length1_hat  1.113114e+02 7.493791e-01
Length1_hat  1.119138e+02 7.081083e-01
Length1_hat  1.233936e+02 9.194692e-01
Length1_hat  1.180471e+02 8.021652e-01
Length1_hat  9.984421e+01 8.248779e-01
Length1_hat  1.114471e+02 7.496614e-01
Length1_hat  1.078222e+02 7.521070e-01
Length1_hat  1.039855e+02 7.760476e-01
Length1_hat  1.076786e+02 7.526183e-01
Length1_hat  1.080124e+02 6.841763e-01
Length1_hat  8.778093e+01 9.810736e-01
Length1_hat  1.111074e+02 7.490107e-01
Length1_hat  1.037574e+02 7.781275e-01
Length1_hat  1.179865e+02 8.013138e-01
Length1_hat  1.148078e+02 7.665675e-01
Length1_hat  1.239449e+02 9.221074e-01
Length1_hat  1.317505e+02 1.207938e+00
Length1_hat  1.267819e+02 1.008061e+00
Length1_hat  1.469880e+02 2.291590e+00
Length1_hat  1.498586e+02 2.593710e+00
Length1_hat  1.317960e+02 1.210079e+00
Length1_hat  1.036049e+02 7.795581e-01
Length1_hat  1.329479e+02 1.251254e+00
Length1_hat  1.147437e+02 7.660605e-01
Length1_hat  1.157111e+02 7.555422e-01
Length1_hat  1.211647e+02 8.561562e-01
Length1_hat  8.607129e+01 1.149114e+00
Length1_hat  1.075117e+02 6.830069e-01
Length1_hat  8.778093e+01 9.810736e-01
Length1_hat  1.074279e+02 6.828545e-01
Length1_hat  1.266508e+02 1.016017e+00
Length1_hat  1.157111e+02 7.555422e-01
Length1_hat  1.113114e+02 7.493791e-01
Length1_hat  1.156354e+02 7.543738e-01
Length1_hat  1.028694e+02 6.934559e-01
Length1_hat  7.577129e+01 1.546929e+00
Length1_hat  1.115957e+02 7.051937e-01
Length1_hat  1.240530e+02 9.250285e-01
Length1_hat  1.147437e+02 7.660605e-01
Length1_hat  9.976375e+01 8.260554e-01
Length1_hat  1.180471e+02 8.021652e-01
Length1_hat  1.072602e+02 6.825864e-01
Length1_hat  1.115160e+02 7.044895e-01
Length1_hat  1.028694e+02 6.934559e-01
Length1_hat  1.076786e+02 7.526183e-01
Length1_hat  9.290973e+01 8.432350e-01
Length1_hat  1.194017e+02 8.231700e-01
Length1_hat  1.231207e+02 9.121205e-01
Length1_hat  8.260497e+01 1.155694e+00
Length1_hat  1.239990e+02 9.235653e-01
Length1_hat  9.310566e+01 8.387259e-01
Length1_hat  1.229838e+02 9.084778e-01
Length1_hat  1.147437e+02 7.660605e-01
Length1_hat  1.267309e+02 1.006341e+00
Length1_hat  1.293119e+02 1.101671e+00
Length1_hat  1.211075e+02 8.549811e-01
Length1_hat  1.464588e+02 2.011958e+00
Length1_hat  9.968320e+01 8.272429e-01
Length1_hat  1.193297e+02 8.216521e-01
Length1_hat  8.788399e+01 9.779444e-01
Length1_hat  1.072602e+02 6.825864e-01
Length1_hat  1.072602e+02 6.825864e-01
Length1_hat  1.179259e+02 8.004688e-01
Length1_hat  9.984421e+01 8.248779e-01
Length1_hat  1.194017e+02 8.231700e-01
Length1_hat  9.815999e+01 7.433853e-01
Length1_hat  1.026927e+02 6.946188e-01
Length1_hat  9.871576e+01 7.354755e-01
Length1_hat  9.778766e+01 7.489789e-01
Length1_hat  1.027811e+02 6.940301e-01
Length1_hat  1.074279e+02 6.828545e-01
Length1_hat  1.076786e+02 7.526183e-01
Length1_hat  1.231890e+02 9.139497e-01
Length1_hat  1.147437e+02 7.660605e-01
Length1_hat  1.211075e+02 8.549811e-01
Length1_hat  1.488037e+02 2.186531e+00
Length1_hat  1.239449e+02 9.221074e-01
Length1_hat  1.239990e+02 9.235653e-01
Length1_hat  1.438335e+02 1.999950e+00
Length1_hat  1.317505e+02 1.207938e+00
Length1_hat  1.239990e+02 9.235653e-01
Length1_hat  1.157867e+02 7.567182e-01
Length1_hat  9.330121e+01 8.342839e-01
Length1_hat  9.300774e+01 8.409721e-01
Length1_hat  8.249671e+01 1.159697e+00
Length1_hat  9.562643e+01 8.981160e-01
Length1_hat  1.115957e+02 7.051937e-01
Length1_hat  1.027811e+02 6.940301e-01
Length1_hat  1.080124e+02 6.841763e-01
Length1_hat  8.860255e+01 9.565211e-01
Length1_hat  9.834561e+01 7.406848e-01
Length1_hat  1.193297e+02 8.216521e-01
Length1_hat  1.029577e+02 6.928964e-01
Length1_hat  1.031338e+02 6.918207e-01
Length1_hat  1.299400e+02 1.130583e+00
Length1_hat  1.116754e+02 7.059077e-01
Length1_hat  9.825285e+01 7.420271e-01
Length1_hat  1.116754e+02 7.059077e-01
Length1_hat  1.195456e+02 8.262247e-01
Length1_hat  1.036812e+02 7.788384e-01
Length1_hat  1.192576e+02 8.201406e-01
Length1_hat  1.237281e+02 9.163283e-01
Length1_hat  1.315220e+02 1.197288e+00
