                 Estimate   Std. Error
ln_gamma     1.588874e+00 4.928339e-01
logit_psi   -1.411135e-01 2.894910e-01
ln_L0        3.677911e+00 1.397849e-01
ln_L0        3.694335e+00 1.179750e-01
ln_bmean    -6.840672e+00 3.474675e-01
ln_bmean    -6.644994e+00 1.051380e-01
ln_sd_bdev  -7.402308e-01 5.553150e-02
ln_sd_obs   -3.129079e+00 6.076101e-02
ln_sd_z      2.650957e+00 4.767506e-01
ln_sd_xdev  -3.749928e+00 5.523759e-02
ln_bdev     -1.714179e-01 3.787641e-01
ln_bdev     -1.518091e-01 4.337608e-01
ln_bdev     -1.470233e-01 4.297706e-01
ln_bdev     -1.243950e-01 4.380553e-01
ln_bdev     -2.238875e-01 4.729755e-01
ln_bdev      1.977863e-04 4.262857e-01
ln_bdev     -1.641099e-01 5.014792e-01
ln_bdev      6.873949e-01 3.432732e-01
ln_bdev     -1.311379e-01 5.512388e-01
ln_bdev     -2.266973e-01 5.038501e-01
ln_bdev      3.524083e-01 2.613527e-01
ln_bdev     -1.740440e-01 8.087181e-01
ln_bdev     -1.974711e-01 1.595911e+00
ln_bdev      1.361831e-01 3.148525e-01
ln_bdev      1.544367e-01 3.662611e-01
ln_bdev      3.125185e-02 6.415222e-01
ln_bdev      3.100061e-01 2.835806e-01
ln_bdev      4.826074e-01 3.074451e-01
ln_bdev      6.824440e-01 2.739078e-01
ln_bdev     -1.151590e-01 4.776633e-01
ln_bdev      2.335792e-01 3.693210e-01
ln_bdev     -1.860898e-01 4.132822e-01
ln_bdev     -1.446349e-01 4.297609e-01
ln_bdev     -2.320024e-01 3.815073e-01
ln_bdev      1.047298e-01 3.606873e-01
ln_bdev      4.262518e-01 8.964029e-01
ln_bdev      4.581459e-01 6.294104e-01
ln_bdev      1.981689e-03 8.356457e-01
ln_bdev     -1.933079e-01 4.736098e-01
ln_bdev      1.218296e-01 7.495065e-01
ln_bdev     -3.116702e-01 1.090428e+00
ln_bdev     -9.468961e-02 5.902262e-01
ln_bdev      8.727274e-02 8.446596e-01
ln_bdev     -2.818018e-01 7.398597e-01
ln_bdev     -1.198025e-01 5.024759e-01
ln_bdev     -1.677697e-01 4.612136e-01
ln_bdev     -2.138420e-02 7.714928e-01
ln_bdev     -1.437367e-01 4.361554e-01
ln_bdev     -1.292471e-01 5.182829e-01
ln_bdev      3.374772e-01 5.674563e-01
ln_bdev     -1.243081e-01 6.573027e-01
ln_bdev     -1.870645e-01 5.505123e-01
ln_bdev     -1.483780e-01 5.229920e-01
ln_bdev     -1.239990e-01 4.164331e-01
ln_bdev     -4.163741e-01 7.138867e-01
ln_bdev      8.361184e-01 4.055840e-01
ln_bdev     -7.375322e-02 4.484303e-01
ln_bdev      3.580869e-02 5.888480e-01
ln_bdev     -4.945273e-02 5.146467e-01
ln_bdev      7.745733e-02 4.627017e-01
ln_bdev      3.428322e-01 3.245033e-01
ln_bdev     -3.385445e-03 4.524141e-01
ln_bdev      3.309278e-01 2.330034e-01
ln_bdev      8.531944e-02 2.515851e-01
ln_bdev     -3.190113e-02 4.079643e-01
ln_bdev     -1.484385e-01 6.261362e-01
ln_bdev     -1.369053e-01 3.612530e-01
ln_bdev     -6.432703e-02 5.264771e-01
ln_bdev     -1.527819e-01 7.035322e-01
ln_bdev      9.811758e-02 5.000383e-01
ln_bdev      9.486775e-01 3.443296e-01
ln_bdev     -2.442409e-01 6.092032e-01
ln_bdev      1.698923e-01 4.828933e-01
ln_bdev     -2.256964e-01 5.386800e-01
ln_bdev     -1.289516e-01 4.057469e-01
ln_bdev     -1.290113e-01 4.993065e-01
ln_bdev     -9.724141e-02 4.065651e-01
ln_bdev     -1.658798e-01 6.262038e-01
ln_bdev      6.623798e-02 4.403565e-01
ln_bdev     -3.013542e-01 6.561147e-01
ln_bdev     -1.453904e-01 5.445772e-01
ln_bdev      3.703577e-01 3.874307e-01
ln_bdev      1.870970e-01 6.278883e-01
ln_bdev     -1.747850e-01 5.762255e-01
ln_bdev      8.136301e-02 5.710252e-01
ln_bdev     -2.581993e-01 5.528281e-01
ln_bdev     -1.748835e-01 4.956305e-01
ln_bdev     -6.835869e-02 4.072703e-01
ln_bdev     -1.217471e-01 4.321066e-01
ln_bdev     -3.365251e-01 5.568368e-01
ln_bdev     -2.227574e-02 6.509073e-01
ln_bdev     -6.493153e-02 3.285246e-01
ln_bdev      3.118482e-02 4.470189e-01
ln_bdev     -6.398674e-02 4.848365e-01
ln_bdev     -1.188567e-01 4.317149e-01
ln_bdev     -1.377659e-01 4.491965e-01
ln_bdev     -1.162836e-01 3.584961e-01
ln_bdev     -2.068679e-01 3.872110e-01
ln_bdev     -2.052294e-01 3.913124e-01
ln_bdev     -1.053514e-01 4.897449e-01
ln_bdev     -2.507129e-02 4.403230e-01
ln_bdev     -7.229057e-02 4.328690e-01
ln_bdev     -8.851610e-02 4.639314e-01
ln_bdev      5.483167e-02 3.793109e-01
ln_bdev     -1.176930e-01 4.333380e-01
ln_bdev     -1.605944e-01 5.996267e-01
ln_bdev     -1.611450e-01 3.873433e-01
ln_bdev     -2.198236e-01 5.589144e-01
ln_bdev     -1.555232e-01 4.884996e-01
ln_bdev     -2.268325e-01 4.992671e-01
ln_bdev     -1.717939e-01 4.684493e-01
ln_bdev     -1.735448e-01 5.029220e-01
ln_bdev     -1.187317e-01 4.316268e-01
ln_bdev     -1.251025e-01 4.311064e-01
ln_bdev     -1.933418e-01 5.432746e-01
ln_bdev     -1.287293e-01 4.937233e-01
ln_bdev     -4.372119e-02 3.270348e-01
