"","Age1","Age2","Liberty"
"1",776.542857142857,834.4,57.8571428571429
"2",574.242857142857,730.1,155.857142857143
"3",833.707142857143,990.85,157.142857142857
"4",518.378571428571,677.95,159.571428571429
"5",623.828571428571,834.4,210.571428571429
"6",358.942857142857,625.8,266.857142857143
"7",575.528571428571,730.1,154.571428571429
"8",943.421428571429,990.85,47.4285714285714
"9",528.228571428571,625.8,97.5714285714286
"10",528.65,573.65,45
"11",1250.45714285714,1251.6,1.14285714285714
"12",736.114285714286,834.4,98.2857142857143
"13",678.528571428571,730.1,51.5714285714286
"14",1168.74166666667,1199.45,30.7083333333333
"15",1041.42857142857,1043,1.57142857142857
"16",688.671428571429,730.1,41.4285714285714
"17",1167.59880952381,1199.45,31.8511904761905
"18",958.570238095238,990.85,32.2797619047619
"19",959.284523809524,990.85,31.5654761904762
"20",1094.72142857143,1095.15,0.428571428571429
"21",986.85,990.85,4
"22",937.985714285714,938.7,0.714285714285714
"23",834.264285714286,886.55,52.2857142857143
"24",1045.00714285714,1095.15,50.1428571428571
"25",1667.94285714286,1668.8,0.857142857142857
"26",523.935714285714,573.65,49.7142857142857
"27",575.942857142857,625.8,49.8571428571429
"28",365.071428571429,521.5,156.428571428571
"29",521.357142857143,521.5,0.142857142857143
"30",630.521428571428,677.95,47.4285714285714
"31",634.107142857143,782.25,148.142857142857
"32",629.807142857143,677.95,48.1428571428571
"33",782.4,834.4,52
"34",633.964285714286,782.25,148.285714285714
"35",626.378571428571,677.95,51.5714285714286
"36",629.671428571429,730.1,100.428571428571
"37",785.7,938.7,153
"38",730.678571428571,782.25,51.5714285714286
"39",471.078571428571,573.65,102.571428571429
"40",628.378571428571,677.95,49.5714285714286
"41",575.95,677.95,102
"42",523.514285714286,625.8,102.285714285714
"43",573.521428571428,677.95,104.428571428571
"44",581.814285714286,730.1,148.285714285714
"45",364.335714285714,365.05,0.714285714285714
"46",623.228571428571,625.8,2.57142857142857
"47",520.792857142857,573.65,52.8571428571429
"48",730.392857142857,782.25,51.8571428571429
"49",679.242857142857,730.1,50.8571428571429
"50",833.978571428571,886.55,52.5714285714286
"51",990.857142857143,1043,52.1428571428571
"52",887.557142857143,938.7,51.1428571428571
"53",1407.48571428571,1460.2,52.7142857142857
"54",1511.5,1564.5,53
"55",991.714285714286,1043,51.2857142857143
"56",519.085714285714,625.8,106.714285714286
"57",937.421428571429,990.85,53.4285714285714
"58",678.385714285714,730.1,51.7142857142857
"59",679.242857142857,730.1,50.8571428571429
"60",783.685714285714,834.4,50.7142857142857
"61",314.192857142857,365.05,50.8571428571429
"62",575.8,625.8,50
"63",364.071428571429,521.5,157.428571428571
"64",574.8,625.8,51
"65",834.978571428571,886.55,51.5714285714286
"66",679.1,730.1,51
"67",626.378571428571,677.95,51.5714285714286
"68",678.385714285714,730.1,51.7142857142857
"69",521.935714285714,573.65,51.7142857142857
"70",211.921428571429,469.35,257.428571428571
"71",626.235714285714,677.95,51.7142857142857
"72",835.835714285714,886.55,50.7142857142857
"73",678.242857142857,730.1,51.8571428571429
"74",470.214285714286,521.5,51.2857142857143
"75",730.678571428571,782.25,51.5714285714286
"76",572.792857142857,573.65,0.857142857142857
"77",625.228571428571,625.8,0.571428571428571
"78",522.078571428571,573.65,51.5714285714286
"79",574.085714285714,625.8,51.7142857142857
"80",414.507142857143,573.65,159.142857142857
"81",728.821428571429,782.25,53.4285714285714
"82",781.828571428571,834.4,52.5714285714286
"83",315.35,469.35,154
"84",834.55,886.55,52
"85",416.785714285714,521.5,104.714285714286
"86",779.685714285714,834.4,54.7142857142857
"87",678.1,730.1,52
"88",887.271428571428,938.7,51.4285714285714
"89",938.85,990.85,52
"90",782.685714285714,834.4,51.7142857142857
"91",1198.31428571429,1251.6,53.2857142857143
"92",468.928571428571,521.5,52.5714285714286
"93",728.25,782.25,54
"94",365.207142857143,469.35,104.142857142857
"95",572.8,625.8,53
"96",573.392857142857,782.25,208.857142857143
"97",729.4,834.4,105
"98",470.657142857143,625.8,155.142857142857
"99",729.1,730.1,1
"100",469.95,677.95,208
"101",519.507142857143,573.65,54.1428571428571
"102",475.671428571429,730.1,254.428571428571
"103",466.228571428571,625.8,159.571428571429
"104",520.657142857143,625.8,105.142857142857
"105",575.385714285714,730.1,154.714285714286
"106",573.521428571428,677.95,104.428571428571
"107",783.257142857143,834.4,51.1428571428571
"108",678.1,730.1,52
"109",783.257142857143,834.4,51.1428571428571
"110",1251.17142857143,1251.6,0.428571428571429
"111",834.264285714286,886.55,52.2857142857143
"112",834.978571428571,886.55,51.5714285714286
"113",1304.04285714286,1355.9,51.8571428571429
"114",990.571428571429,1043,52.4285714285714
"115",834.978571428571,886.55,51.5714285714286
"116",679.814285714286,730.1,50.2857142857143
"117",419.078571428571,573.65,154.571428571429
"118",415.778571428571,469.35,53.5714285714286
"119",313.771428571429,417.2,103.428571428571
"120",419.785714285714,521.5,101.714285714286
"121",626.235714285714,677.95,51.7142857142857
"122",521.085714285714,625.8,104.714285714286
"123",582.257142857143,834.4,252.142857142857
"124",372.092857142857,677.95,305.857142857143
"125",472.228571428571,625.8,153.571428571429
"126",727.678571428571,782.25,54.5714285714286
"127",523.221428571429,573.65,50.4285714285714
"128",525.378571428571,677.95,152.571428571429
"129",886.985714285714,938.7,51.7142857142857
"130",627.107142857143,782.25,155.142857142857
"131",470.65,573.65,103
"132",627.107142857143,782.25,155.142857142857
"133",730.978571428571,886.55,155.571428571429
"134",519.528571428571,730.1,210.571428571429
"135",726.535714285714,782.25,55.7142857142857
