                 Estimate   Std. Error
ln_gamma     1.404200e+00 7.490239e-01
logit_psi   -1.578798e-01 4.113242e-01
ln_L0        3.855633e+00 8.716542e-02
ln_L0        3.845388e+00 9.378449e-02
ln_bmean    -7.159917e+00 1.895307e-01
ln_bmean    -6.888483e+00 2.070470e-01
ln_sd_obs   -3.038567e+00 7.056658e-02
ln_sd_z      2.669578e+00 7.109040e-01
ln_sd_ydev  -1.171224e+00 4.070229e-01
z1           1.280640e+01 4.911303e+00
z1           4.358483e+00 4.597155e+00
z1           2.844518e+00 5.243221e+00
z1           2.557893e+00 4.201315e+00
z1          -3.445303e+00 4.606983e+00
z1           7.597901e+00 4.057561e+00
z1          -1.392604e+00 4.516558e+00
z1          -1.796770e+01 4.972475e+00
z1          -9.411501e-01 4.406110e+00
z1          -1.072076e+00 3.840582e+00
z1          -6.981471e+00 5.908144e+00
z1          -6.272577e+00 4.647720e+00
z1          -1.562654e+01 4.066504e+00
z1           3.762592e+00 5.740021e+00
z1           3.658591e-01 4.992406e+00
z1          -4.295231e+00 4.301408e+00
z1          -6.436435e+00 5.731518e+00
z1          -1.334740e+01 4.924668e+00
z1          -2.220022e+01 4.850461e+00
z1           9.715997e+00 5.451035e+00
z1          -3.436617e+00 4.849675e+00
z1           1.292242e+01 4.796521e+00
z1           1.019857e+01 4.859434e+00
z1           1.774605e+01 5.545045e+00
z1           2.127977e+00 7.493660e+00
z1          -1.116204e+01 3.439238e+00
z1          -1.861397e+01 3.751544e+00
z1          -1.793963e+01 3.651462e+00
z1           2.743979e-01 3.459506e+00
z1          -1.205107e+01 4.020088e+00
z1          -1.668301e+01 4.264459e+00
z1          -2.609352e+00 4.179581e+00
z1          -9.741933e+00 4.368933e+00
z1          -1.231748e+01 4.390136e+00
z1           2.845298e+00 4.307042e+00
z1           1.705001e+00 4.444977e+00
z1          -4.982240e+00 4.925875e+00
z1           8.369871e+00 4.647792e+00
z1           2.845890e+00 4.045654e+00
z1          -1.647191e+01 4.247501e+00
z1          -5.352008e+00 4.237950e+00
z1          -1.056603e+00 4.212045e+00
z1           1.527252e-01 4.337892e+00
z1           5.908712e+00 4.482268e+00
z1          -2.087108e+01 2.666164e+00
z1          -2.595849e+01 3.535680e+00
z1           9.615487e+00 4.114434e+00
z1          -4.356741e+00 4.429444e+00
z1           1.974786e+00 4.447444e+00
z1           8.918224e-01 4.678608e+00
z1          -8.592644e+00 5.085845e+00
z1           4.406702e+00 4.877173e+00
z1          -8.575218e+00 6.548716e+00
z1           4.416418e+00 7.063019e+00
z1           5.139121e+00 5.103819e+00
z1          -4.324444e+00 4.064694e+00
z1           1.628584e+01 5.146935e+00
z1           5.554538e-01 4.362624e+00
z1          -9.885302e+00 4.018668e+00
z1          -1.054136e+01 4.585949e+00
z1           1.149325e+01 3.633892e+00
z1          -9.958080e+00 3.757904e+00
z1          -1.292179e+01 3.685978e+00
z1          -8.543092e+00 3.931637e+00
z1           5.836861e+00 4.766687e+00
z1          -9.665156e-01 4.185468e+00
z1           8.888123e+00 4.394707e+00
z1          -7.656673e+00 4.072600e+00
z1           5.678257e+00 3.925997e+00
z1          -9.361952e+00 3.514353e+00
z1          -3.759140e+00 3.995740e+00
z1          -1.953553e+01 4.423620e+00
z1          -1.624145e+01 4.164376e+00
z1          -6.913803e+00 3.780374e+00
z1          -1.182941e+01 4.346760e+00
z1          -9.319464e+00 3.470765e+00
z1          -2.890053e+00 3.679804e+00
z1           4.383556e+00 3.999977e+00
z1           4.523133e+00 4.232092e+00
z1          -1.341211e+01 3.586372e+00
z1          -8.110778e+00 4.190467e+00
z1           1.845129e+01 4.916373e+00
z1           7.208562e+00 3.521798e+00
z1          -9.137643e-01 4.776986e+00
z1           2.864825e+00 3.763419e+00
z1           3.379671e+00 4.701049e+00
z1           1.843535e+01 4.703365e+00
z1           1.291080e+01 5.080581e+00
z1           1.312349e+01 5.166114e+00
z1           6.951914e-01 4.806744e+00
z1           3.516713e+00 5.780457e+00
z1           6.679082e+00 4.028243e+00
z1           3.829438e+00 4.435891e+00
z1           1.132063e+01 3.749884e+00
z1           4.290216e+00 4.075699e+00
z1          -3.294757e+00 4.226318e+00
z1           1.009357e+01 4.995530e+00
z1          -4.667084e+00 4.075306e+00
z1           2.009772e+00 4.041620e+00
z1          -8.310380e-01 3.974742e+00
z1          -7.430502e-01 3.903319e+00
z1           1.369722e+00 4.133281e+00
z1           4.417478e+00 3.996662e+00
z1           3.905191e+00 4.085151e+00
z1          -1.337372e+00 4.193427e+00
z1           2.712535e+00 4.356407e+00
z1           2.003119e+01 4.921225e+00
z1           6.663787e+00 4.506078e+00
z1          -7.322185e-01 4.787497e+00
z1           1.793733e+01 5.796908e+00
z1           1.316322e+01 4.951840e+00
z1           3.154313e-01 4.805461e+00
z1          -4.879488e+00 5.915100e+00
z1           1.967696e+01 5.396095e+00
z1           2.056016e+01 5.169179e+00
z1           9.950564e+00 4.361839e+00
z1          -1.005620e+01 3.588676e+00
z1           6.321897e-01 3.592060e+00
