                 Estimate   Std. Error
ln_gamma    -1.058630e+00 0.0348089248
ln_gamma    -1.039872e+00 0.0391393902
L0           4.998805e-02 0.9952536769
L0           4.978459e+00 0.9948230112
ln_bmean    -6.059428e+00 0.0576140554
ln_bmean    -6.007631e+00 0.0588409019
ln_sd_obs   -3.093924e+00 0.0724286157
ln_sd_z     -1.501384e-01 0.0396210185
z1           1.309408e+01 4.8032922184
z1           2.166818e+00 4.5656220812
z1           3.198678e+00 5.1111903201
z1           7.240844e-01 4.3358690068
z1          -7.696992e+00 4.5919502131
z1           8.278377e+00 4.0196900876
z1          -3.217125e+00 4.4432231338
z1          -2.500202e+01 4.3269111258
z1          -3.941349e+00 4.1374091846
z1          -5.924853e+00 3.8501474618
z1          -1.083564e+01 4.3553280156
z1          -1.360414e+01 4.5071288339
z1          -2.104275e+01 3.9408698364
z1           7.027504e-01 4.8118358035
z1          -4.608208e+00 4.1973820163
z1          -8.268232e+00 4.1036864100
z1          -1.061358e+01 4.8426514634
z1          -2.023151e+01 4.3684896530
z1          -2.957936e+01 4.2472371179
z1           6.891637e+00 4.5973198116
z1          -9.323580e+00 4.1332406018
z1           9.709585e+00 4.3035047386
z1           7.043874e+00 4.7318597365
z1           1.432961e+01 5.1360817055
z1           1.067605e+01 5.2578655610
z1          -1.522251e+01 3.4546150387
z1          -2.378999e+01 3.5675957261
z1          -2.159609e+01 3.2079091222
z1          -3.364482e+00 3.2703526385
z1          -1.523934e+01 3.9028052656
z1          -2.319054e+01 4.0886318351
z1          -5.445636e+00 4.1081701723
z1          -1.370665e+01 4.3057276036
z1          -1.889306e+01 4.2428183022
z1           2.052867e-01 4.2476384385
z1          -2.180845e+00 4.5154378951
z1          -1.186601e+01 4.7689457579
z1           5.940989e+00 4.5597715519
z1          -1.662761e+00 4.0355912336
z1          -2.148329e+01 4.0571839241
z1          -9.025139e+00 4.1765854360
z1          -6.376541e+00 4.1317187842
z1          -3.380565e+00 4.3157842998
z1           2.011806e+00 4.5718592948
z1          -2.057371e+01 2.3866767915
z1          -3.154515e+01 3.1587542916
z1           5.529634e+00 4.1094855701
z1          -7.276828e+00 4.2989882267
z1           2.619197e-01 4.2911750393
z1          -2.505247e+00 4.5133252856
z1          -1.373316e+01 4.6719047576
z1           5.066891e-01 4.6696681111
z1          -8.066351e+00 5.1785512670
z1           7.229306e+00 5.4211213586
z1           4.233473e+00 4.8740295745
z1          -7.584480e+00 4.0540475428
z1           1.677787e+01 5.1205684067
z1          -1.881618e+00 4.2699905368
z1          -1.304319e+01 4.0511040089
z1          -9.881442e+00 4.2827255112
z1           2.049066e+01 3.5746208966
z1          -1.269488e+01 3.8013637852
z1          -1.587621e+01 3.3548803914
z1          -1.268203e+01 3.9753022323
z1           5.975288e+00 4.7870431656
z1          -3.801925e+00 4.2645685429
z1           6.348520e+00 4.3382014990
z1          -1.088299e+01 4.1177993763
z1           5.861035e+00 3.9945603478
z1          -4.159918e+00 2.7769652505
z1          -6.907294e+00 4.0598209633
z1          -1.965374e+01 4.1994218549
z1          -1.992161e+01 3.9906162293
z1          -8.232732e+00 3.6896520795
z1          -1.284928e+01 4.1744338542
z1          -1.172707e+01 3.1957281889
z1          -6.106266e+00 3.4551549984
z1           2.993050e+00 4.0893862690
z1           2.236952e+00 4.1957853304
z1          -1.590745e+01 3.4804125488
z1          -8.943416e+00 4.2171424096
z1           1.957158e+01 4.9306122363
z1           1.035606e+01 3.6607047405
z1          -9.279386e-01 4.6084199005
z1           2.259756e+00 3.9140261248
z1           3.331434e+00 4.6945966284
z1           1.655786e+01 4.6573616457
z1           1.264213e+01 4.9222817785
z1           1.256700e+01 4.9817020921
z1           1.160326e+00 4.5634781602
z1           5.154927e+00 5.3651874767
z1           6.176873e+00 4.0126175906
z1           3.307863e+00 4.5111905873
z1           1.281414e+01 3.9470492784
z1           1.671552e+00 4.2119377098
z1          -7.112797e+00 4.3339148317
z1           9.835086e+00 4.9090037753
z1          -8.782241e+00 4.0042678235
z1          -9.107340e-01 3.7985002278
z1          -5.409111e+00 4.0377188048
z1          -2.321323e+00 3.9701014076
z1          -3.403666e+00 4.1313735854
z1           1.315449e+00 4.1687097545
z1           7.580396e-01 4.2619513898
z1          -6.263027e+00 4.3147884675
z1          -9.622281e-01 4.3536726954
z1           2.147505e+01 4.9242288015
z1           4.271155e+00 4.4361146934
z1          -4.496037e-01 4.5421767710
z1           2.080148e+01 5.0234957531
z1           1.417927e+01 4.7655574473
z1           2.030907e-01 4.6393823426
z1          -3.916968e+00 5.0933596490
z1           1.839165e+01 5.1886704259
z1           2.063739e+01 5.0277752837
z1           7.907312e+00 4.4826213017
z1          -1.214278e+01 3.5799203672
z1           8.992591e-01 3.6873754632
z1           6.780838e+00 3.5415321035
z1          -4.458675e+00 3.7937883564
z1           8.041686e+00 4.4171423705
z1           4.303502e+00 4.2935119718
z1          -4.473889e+00 4.5122541475
z1           6.960569e+00 4.0003759054
z1           8.056483e+00 4.2545580071
z1           1.285271e+01 4.7380640625
z1           1.777928e+01 4.1845758190
z1          -1.860698e-01 4.3072843731
z1          -1.227436e+00 4.7893119693
z1          -1.518703e+00 4.5296336137
z1           9.235859e+00 4.2982603620
z1           6.674589e+00 4.6891031111
z1          -1.618103e+01 4.5498028567
z1          -4.451630e+00 4.2924026465
z1           3.898541e+00 4.5512463861
z1           1.581888e+01 4.9169567012
z1          -5.928946e+00 4.8095343506
z1           3.032965e+00 3.7070943417
z1           8.009367e+00 4.0807160162
z1          -8.675932e+00 3.8687079630
z1          -2.721629e+00 3.7990842351
