                 Estimate   Std. Error
z1          -1.105693e+01 4.699147e+00
z1          -6.561555e+00 4.181348e+00
z1           3.256030e+00 4.550663e+00
z1           1.136330e+01 4.300419e+00
z1           1.119149e+01 4.673287e+00
z1          -1.034618e+01 4.803103e+00
z1           1.007443e+01 5.227996e+00
z1           1.111494e+00 3.977694e+00
z1          -3.285652e+01 3.661735e+00
z1          -1.407818e+01 3.952098e+00
z1          -4.114998e+01 5.410539e+00
z1          -2.662320e+00 4.278240e+00
z1          -7.449974e+00 4.227097e+00
z1          -1.612870e+01 3.956613e+00
z1           1.636913e+01 4.487494e+00
z1          -2.486209e+00 4.100953e+00
z1          -9.679418e-01 4.489449e+00
z1          -2.421946e+00 4.199419e+00
z1          -9.698287e-01 3.539374e+00
z1           1.749982e+01 4.749372e+00
z1           8.172703e+00 3.771181e+00
z1           8.009561e+00 3.781692e+00
z1          -7.786711e+00 4.177302e+00
z1           8.598817e+00 4.319254e+00
z1          -7.948052e+00 3.495740e+00
z1          -1.523996e+01 3.990443e+00
z1          -1.323764e+00 3.779601e+00
z1          -1.200393e+01 4.631467e+00
z1          -6.993523e+00 4.164060e+00
z1          -8.558192e+00 3.500926e+00
z1          -2.647682e-01 3.167065e+00
z1          -3.911427e+00 3.956372e+00
z1           2.494562e+00 3.384492e+00
z1           8.538875e+00 4.219792e+00
z1           1.731832e+00 4.505961e+00
z1           3.520524e+00 3.928549e+00
z1           6.402106e+00 3.720677e+00
z1          -8.814841e+00 3.043324e+00
z1          -3.061016e+00 3.984845e+00
z1           3.320993e+00 3.804912e+00
z1           1.255855e+01 4.606633e+00
z1           1.608080e+01 4.678030e+00
z1           1.041317e+01 4.672079e+00
z1           2.898893e+00 4.128957e+00
z1          -8.685115e-02 4.385208e+00
z1           4.293750e+00 4.089900e+00
z1           7.333916e+00 4.172667e+00
z1          -6.832018e-01 3.667386e+00
z1          -1.268560e+01 4.025596e+00
z1          -2.173210e+00 4.204732e+00
z1           5.992000e+00 4.627281e+00
z1          -1.762419e+01 3.392734e+00
z1          -1.145359e+00 3.459703e+00
z1          -1.020658e+01 4.395076e+00
z1           8.234485e+00 4.976181e+00
z1           1.470719e+01 4.217161e+00
z1          -7.467541e+00 4.024913e+00
z1           3.413608e+00 3.854979e+00
z1          -1.331165e+01 3.790324e+00
z1           8.088302e+00 3.628694e+00
z1           5.195889e+00 4.886689e+00
z1           1.216296e+00 4.760137e+00
z1           5.591592e+00 4.915889e+00
z1          -4.591441e+01 4.186494e+00
z1          -8.199151e+00 4.360291e+00
z1           1.386409e+01 4.799753e+00
z1           2.957804e+00 4.153616e+00
z1          -2.144381e+00 4.102799e+00
