                 Estimate   Std. Error
Length1_hat  1.119757e+02 1.242225e+00
Length1_hat  1.064667e+02 1.427664e+00
Length1_hat  1.095890e+02 1.171238e+00
Length1_hat  8.892326e+01 1.692897e+00
Length1_hat  1.219479e+02 1.417254e+00
Length1_hat  1.273897e+02 1.795490e+00
Length1_hat  7.747999e+01 1.706239e+00
Length1_hat  1.284825e+02 1.549358e+00
Length1_hat  9.194823e+01 1.372776e+00
Length1_hat  1.273124e+02 1.810586e+00
Length1_hat  1.159883e+02 1.421542e+00
Length1_hat  1.307001e+02 1.571277e+00
Length1_hat  1.328260e+02 1.708818e+00
Length1_hat  1.264975e+02 1.746890e+00
Length1_hat  1.453592e+02 2.823953e+00
Length1_hat  1.011147e+02 1.337048e+00
Length1_hat  1.222186e+02 1.400339e+00
Length1_hat  8.622632e+01 1.414465e+00
Length1_hat  1.095223e+02 1.269500e+00
Length1_hat  1.010342e+02 1.565500e+00
Length1_hat  1.183090e+02 1.644979e+00
Length1_hat  9.317578e+01 1.442595e+00
Length1_hat  1.187390e+02 1.526018e+00
Length1_hat  9.174020e+01 1.578609e+00
Length1_hat  1.062374e+02 1.459945e+00
Length1_hat  9.140401e+01 2.174044e+00
Length1_hat  9.210074e+01 1.462507e+00
Length1_hat  1.012643e+02 1.259974e+00
Length1_hat  9.898418e+01 1.659544e+00
Length1_hat  1.051784e+02 1.424423e+00
Length1_hat  1.274934e+02 1.779033e+00
Length1_hat  1.159883e+02 1.421542e+00
Length1_hat  1.265844e+02 1.736884e+00
Length1_hat  1.479544e+02 2.878855e+00
Length1_hat  1.284585e+02 1.557540e+00
Length1_hat  1.284585e+02 1.557540e+00
Length1_hat  1.472627e+02 2.926410e+00
Length1_hat  1.347253e+02 1.802687e+00
Length1_hat  1.284585e+02 1.557540e+00
Length1_hat  1.164076e+02 1.467161e+00
Length1_hat  8.916368e+01 1.662616e+00
Length1_hat  9.453640e+01 1.411846e+00
Length1_hat  8.294233e+01 1.648450e+00
Length1_hat  9.349716e+01 1.408914e+00
Length1_hat  1.129983e+02 1.455521e+00
Length1_hat  1.009464e+02 1.239545e+00
Length1_hat  1.027755e+02 2.241709e+00
