                 Estimate   Std. Error
Length2_hat  1.393337e+02 2.246077e+00
Length2_hat  1.442128e+02 2.212821e+00
Length2_hat  1.395168e+02 2.258402e+00
Length2_hat  1.281550e+02 1.900380e+00
Length2_hat  1.214849e+02 1.718410e+00
Length2_hat  1.177495e+02 1.763545e+00
Length2_hat  1.343154e+02 1.881513e+00
Length2_hat  1.125635e+02 1.746240e+00
Length2_hat  1.211796e+02 1.674140e+00
Length2_hat  1.245118e+02 1.634984e+00
Length2_hat  1.210041e+02 1.686775e+00
Length2_hat  1.253238e+02 1.713258e+00
Length2_hat  1.038857e+02 1.713245e+00
Length2_hat  1.163907e+02 1.709952e+00
Length2_hat  1.098983e+02 1.773411e+00
Length2_hat  1.495140e+02 2.366757e+00
Length2_hat  1.219107e+02 1.795119e+00
Length2_hat  1.074700e+02 1.797891e+00
Length2_hat  1.073837e+02 1.908675e+00
Length2_hat  1.306572e+02 1.963218e+00
Length2_hat  1.101629e+02 1.789641e+00
Length2_hat  1.220403e+02 1.761779e+00
Length2_hat  1.315750e+02 2.039627e+00
Length2_hat  1.071252e+02 1.883500e+00
Length2_hat  1.221375e+02 1.792978e+00
Length2_hat  1.160826e+02 1.727775e+00
Length2_hat  1.320675e+02 2.027820e+00
Length2_hat  1.103298e+02 1.678358e+00
Length2_hat  1.159890e+02 1.756295e+00
Length2_hat  1.253500e+02 1.786369e+00
Length2_hat  1.156914e+02 1.718154e+00
Length2_hat  1.245515e+02 1.634307e+00
Length2_hat  1.221042e+02 1.760094e+00
Length2_hat  1.275566e+02 1.827501e+00
Length2_hat  1.220681e+02 1.754919e+00
Length2_hat  9.525251e+01 2.437501e+00
Length2_hat  1.382518e+02 1.907542e+00
Length2_hat  1.072222e+02 1.866243e+00
Length2_hat  1.243660e+02 1.636581e+00
Length2_hat  1.041178e+02 1.681534e+00
Length2_hat  1.073433e+02 1.873659e+00
Length2_hat  9.945704e+01 2.063729e+00
Length2_hat  1.038689e+02 1.732557e+00
Length2_hat  1.166993e+02 1.647931e+00
Length2_hat  1.514409e+02 2.473321e+00
Length2_hat  1.074099e+02 1.757024e+00
Length2_hat  1.211796e+02 1.674140e+00
Length2_hat  1.103330e+02 1.661696e+00
Length2_hat  9.939222e+01 2.051929e+00
Length2_hat  1.101345e+02 1.668615e+00
Length2_hat  1.309437e+02 1.952926e+00
Length2_hat  1.041178e+02 1.681534e+00
Length2_hat  1.368369e+02 1.909748e+00
Length2_hat  1.103330e+02 1.661696e+00
Length2_hat  1.367105e+02 1.902539e+00
Length2_hat  1.282448e+02 1.932467e+00
Length2_hat  1.272908e+02 1.854096e+00
Length2_hat  9.570985e+01 2.400813e+00
Length2_hat  1.153547e+02 1.708883e+00
Length2_hat  1.211048e+02 1.759202e+00
Length2_hat  1.156892e+02 1.808971e+00
Length2_hat  1.089110e+02 2.070306e+00
Length2_hat  1.056615e+02 2.436076e+00
Length2_hat  1.151242e+02 1.979338e+00
Length2_hat  1.526430e+02 2.567281e+00
Length2_hat  1.042271e+02 2.301464e+00
Length2_hat  1.272760e+02 2.258994e+00
Length2_hat  1.153018e+02 2.138653e+00
Length2_hat  1.336988e+02 2.306865e+00
Length2_hat  1.260783e+02 2.060226e+00
Length2_hat  1.356749e+02 2.305494e+00
Length2_hat  1.151811e+02 2.010315e+00
Length2_hat  1.415788e+02 2.304496e+00
Length2_hat  1.216371e+02 2.130168e+00
Length2_hat  1.272414e+02 2.259739e+00
Length2_hat  1.503849e+02 2.506761e+00
Length2_hat  1.293495e+02 2.113610e+00
Length2_hat  1.273937e+02 2.347590e+00
Length2_hat  8.779812e+01 2.100862e+00
Length2_hat  1.121347e+02 2.122130e+00
Length2_hat  1.119884e+02 2.193990e+00
Length2_hat  1.207089e+02 2.730303e+00
Length2_hat  1.178872e+02 2.804962e+00
Length2_hat  1.326616e+02 2.962555e+00
Length2_hat  1.095046e+02 2.862508e+00
Length2_hat  1.258816e+02 2.766337e+00
Length2_hat  1.056150e+02 3.113944e+00
Length2_hat  1.057923e+02 2.927679e+00
Length2_hat  1.172604e+02 2.676205e+00
Length2_hat  1.177386e+02 2.831044e+00
Length2_hat  1.269261e+02 2.914883e+00
Length2_hat  1.175522e+02 2.731781e+00
Length2_hat  1.393026e+02 3.059070e+00
Length2_hat  1.205327e+02 2.763522e+00
Length2_hat  1.426228e+02 3.030378e+00
Length2_hat  1.096424e+02 3.056985e+00
Length2_hat  1.179657e+02 2.836226e+00
Length2_hat  1.199639e+02 2.641876e+00
Length2_hat  1.209991e+02 2.783527e+00
Length2_hat  1.114603e+02 2.992767e+00
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
a_indiv      4.809841e-02 9.481446e-03
a_indiv      5.067109e-02 1.024317e-02
a_indiv      5.067109e-02 1.024317e-02
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
b_indiv      4.727477e-13          NaN
b_indiv      8.367700e-10 2.746496e-07
